Ontario Traffic Inc - Bicycle Counts,,,,,,,,
,,,,,,,,
Location:,College St from Spadina Ave to Huron St,,,,Date:,09/24/2010,,
,,,,,,,,
Direction:,WB,,,,Weather:,Clear,,
,,,,,,,,
Start Time (every 15 min),Gender,,Wearing Helmet,,Passenger On The Bike,,Riding On The Sidewalk,
,Male,Female,Yes,No,Yes,No,Yes,No
7:00,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
7:15,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,X,
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
7:30,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,X,
,,X,,X,,X,,X
,X,,,X,,X,,X
7:45,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
8:00,,X,X,,,X,X,
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
8:15,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,X,
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,,X
,X,,,X,,X,X,
8:30,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,X,
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
8:45,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,X,,,X
,X,,X,,,X,,X
9:00,X,,X,,,X,X,
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
9:15,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,X,
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
9:30,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
9:45,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,X,
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
10:00,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,,X
10:15,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,X,
,X,,,X,,X,X,
,X,,X,,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,,X
,,X,,X,,X,X,
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
10:30,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,X,
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
10:45,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,X,
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
11:00,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,X,
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,X,
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,X,
,X,,X,,,X,X,
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
11:15,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,X,
11:30,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,X,
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,X,
,,X,,X,,X,,X
11:45,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
12:00,,X,,X,,X,X,
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,X,
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
12:15,,X,X,,,X,X,
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,X,
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,X,
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
12:30,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
12:45,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,X,
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
13:00,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
13:15,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
13:30,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
13:45,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,X,
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
14:00,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,X,
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,X,
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
14:15,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,X,
,X,,,X,,X,,X
,X,,,X,,X,X,
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
14:30,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,X,
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,X,
,,X,,X,,X,X,
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
14:45,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,X,
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,X,
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
15:00,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,X,
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,X,
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
15:15,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,X,
,X,,,X,,X,X,
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
15:30,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
15:45,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,X,
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
